batch,hit,miss,rate
865, 46,4,92.00
866, 47,3,94.00
867, 46,4,92.00
868, 41,9,82.00
869, 43,7,86.00
870, 47,3,94.00
871, 46,4,92.00
872, 47,3,94.00
873, 47,3,94.00
874, 45,5,90.00
875, 44,6,88.00
876, 46,4,92.00
877, 47,3,94.00
878, 46,4,92.00
879, 44,6,88.00
880, 46,4,92.00
881, 47,3,94.00
882, 43,7,86.00
883, 46,4,92.00
884, 42,8,84.00
885, 41,9,82.00
886, 42,8,84.00
887, 47,3,94.00
888, 47,3,94.00
889, 46,4,92.00
890, 41,9,82.00
891, 45,5,90.00
892, 46,4,92.00
893, 41,9,82.00
894, 43,7,86.00
895, 47,3,94.00
896, 45,5,90.00
897, 43,7,86.00
898, 45,5,90.00
899, 46,4,92.00
900, 49,1,98.00
901, 50,0,100.00
902, 46,4,92.00
903, 44,6,88.00
904, 45,5,90.00
905, 46,4,92.00
906, 44,6,88.00
907, 41,9,82.00
908, 43,7,86.00
909, 43,7,86.00
910, 47,3,94.00
911, 47,3,94.00
912, 47,3,94.00
913, 46,4,92.00
914, 46,4,92.00
915, 44,6,88.00
916, 48,2,96.00
917, 48,2,96.00
918, 48,2,96.00
919, 48,2,96.00
920, 45,5,90.00
921, 41,9,82.00
922, 42,8,84.00
923, 46,4,92.00
924, 44,6,88.00
925, 45,5,90.00
926, 42,8,84.00
927, 47,3,94.00
928, 41,9,82.00
929, 42,8,84.00
930, 47,3,94.00
931, 47,3,94.00
932, 41,9,82.00
933, 46,4,92.00
934, 46,4,92.00
935, 40,10,80.00
936, 46,4,92.00
937, 45,5,90.00
938, 44,6,88.00
939, 46,4,92.00
940, 47,3,94.00
941, 48,2,96.00
942, 43,7,86.00
943, 48,2,96.00
944, 49,1,98.00
945, 46,4,92.00
946, 48,2,96.00
947, 43,7,86.00
948, 43,7,86.00
949, 48,2,96.00
950, 44,6,88.00
951, 39,11,78.00
952, 47,3,94.00
953, 46,4,92.00
954, 42,8,84.00
955, 49,1,98.00
956, 49,1,98.00
957, 44,6,88.00
958, 44,6,88.00
959, 45,5,90.00
960, 43,7,86.00
961, 46,4,92.00
962, 38,12,76.00
963, 46,4,92.00
964, 47,3,94.00
965, 45,5,90.00
966, 45,5,90.00
967, 46,4,92.00
968, 44,6,88.00
969, 47,3,94.00
970, 48,2,96.00
971, 48,2,96.00
972, 46,4,92.00
973, 42,8,84.00
974, 50,0,100.00
975, 48,2,96.00
976, 48,2,96.00
977, 46,4,92.00
978, 43,7,86.00
979, 43,7,86.00
980, 48,2,96.00
981, 48,2,96.00
982, 42,8,84.00
983, 39,11,78.00
984, 48,2,96.00
985, 41,9,82.00
986, 44,6,88.00
987, 44,6,88.00
988, 47,3,94.00
989, 44,6,88.00
990, 44,6,88.00
991, 45,5,90.00
992, 45,5,90.00
993, 45,5,90.00
994, 47,3,94.00
995, 47,3,94.00
996, 44,6,88.00
997, 43,7,86.00
998, 46,4,92.00
999, 49,1,98.00
1000, 46,4,92.00
